GeoCode,Country,Indicator,Year,Value,Unit
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1976,-0.3,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1977,-0.2,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1978,-0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1979,-0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1980,-0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1981,0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1982,-0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1983,-0.2,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1984,0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1985,0.0,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1986,0.0,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1987,-0.1,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1988,0.2,Celsius (°C)
FM,"Micronesia, Federated State of",Sea Surface Temperature anomalies,1989,0.1,Celsius (°C)
